"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","japanese","portuguese",
"STR_DIFF_STRESSDAMAGEENABLED","Stress damage","Stress damage","Poškození v důsledku namáhání","Belastungsschäden","Stress damage","Uszkodzenie przez naprężenia","Stress damage","Danno da sforzo","Daño por estrés","Dommages subis","ストレス・ダメージ","Stress damage",
"STR_LARGE","Large","Large","Velký","Groß","Большой","Duży","Nagy","Grande","Grande","Grand(e)","大きい","Large",
"STR_DIFF_UNLIMITED_SAVES","Unlimited saves","Unlimited saves","Neomezené ukládání","Unbegrenztes Speichern","Неограниченные сохранения","Nieskończona ilość zapisów","Korlátlan mentés","Salvataggi illimitati","Guardar sin límite","Sauvegardes illimitées","セーブ無制限","Unlimited saves",
"STR_DIFF_VON_ID","VON ID","VON ID","VON ID","VON-ID","Чат (VON) ИД","Identyfikator VON","VON azonosító","VON ID","ID VON","VON ID","VON ID","VON ID",
"STR_DIFF_WINDENABLED","Wind influences dynamics","Wind influences dynamics","Dynamika vlivu větru na let","Wind beeinflusst Flugdynamik","Wind influences dynamics","Dynamika wpływu wiatru","Wind influences dynamics","Dinamiche influsso del vento","El viento influye en la dinámica","Influence du vent sur la dynamique de vol","風影響ダイナミックス","Wind influences dynamics",
"STR_DIK_0","0","0","0","0","0","0","0","0","0","0","0","0",
"STR_DIK_1","1","1","1","1","1","1","1","1","1","1","1","1",
"STR_DIK_2","2","2","2","2","2","2","2","2","2","2","2","2",
"STR_DIK_3","3","3","3","3","3","3","3","3","3","3","3","3",
"STR_MSG_OK_LAUNCH_GAME","Press OK to launch game.","Press OK to launch game.","Hru spustíte stisknutím tlačítka OK.","Zum Starten OK klicken.","Нажмите ОК, чтобы запустить игру.","Naciśnij OK, by uruchomić grę.","Kattints az OK-ra a játék indításához.","Premi OK per lanciare il gioco.","Pulsa Aceptar para inciar el juego.","Appuyez sur OK pour lancer la partie.","Press OK to launch game.","Press OK to launch game.",
"STR_MSG_OK_READY","Press OK if ready.","Press OK if ready.","Jste-li připraveni, stiskněte tlačítko OK","OK klicken, wenn Sie bereit sind.","Нажмите ОК, если вы готовы.","Jeśli jesteś gotów, naciśnij OK.","Ha felkészültél, nyomj OK-t.","Premi OK quando sei pronto.","Pulsa Aceptar cuando estés listo.","Appuyez sur OK si vous êtes prêt.","Press OK if ready.","Press OK if ready.",
"STR_MSG_WAIT_FOR_OTHERS","Wait for others.","Wait for others.","Vyčkejte na ostatní","Warte auf andere Spieler.","Ждем остальных.","Czekaj na innych.","Várakozás a többiekre.","In attesa di altri giocatori.","Espera a los demás.","Attendre les autres.","Wait for others.","Wait for others.",
"STR_TITTYPE_RESOURCE","RESOURCE","RESOURCE","ZDROJ","RESSOURCE","РЕСУРС","ZASOBY","FORRÁS","RISORSA","RECURSO","RESSOURCE","RESOURCE","RESOURCE",
"STR_TITTYPE_TEXT","TEXT","TEXT","TEXT","TEXT","ТЕКСТ","TEKST","SZÖVEG","TESTO","TEXTO","TEXTE","TEXT","TEXT",
"STR_DIK_4","4","4","4","4","4","4","4","4","4","4","4","4",
"STR_MSG_CHOOSE_ROLE","Choose your role (select role in central listbox).","Choose your role (select role in central listbox).","Vyberte svoji roli (v centrálním seznamu)","Wählen Sie Ihre Rolle (aus der Liste in der Mitte).","Выберите вашу роль (в центральном списке).","Wybierz rolę (wybierz rolę w środkowym oknie).","Válassz szerepet (válaszd ki a szerepedet a középső szövegdobozban).","Scegli il tuo ruolo (dalla lista nel riquadro centrale).","Elige tu función (selecciónala en la lista central).","Choisissez votre rôle (choix de rôle dans liste centrale).","Choose your role (select role in central listbox).","Choose your role (select role in central listbox).",
"STR_TITTYPE_NONE","NONE","NONE","ŽÁDNÝ","KEINEN","НЕТ","BRAK","ÜRES","NESSUNO","NINGUNO","NÉANT","なし","NONE",
"STR_TITTYPE_OBJECT","OBJECT","OBJECT","OBJEKT","OBJEKT","ОБЪЕКТ","OBIEKT","TÁRGY","OGGETTO","OBJETO","OBJET","OBJECT","OBJECT",
"STR_LEFT_BUTTON","Left","Left","Levé","Links","Налево","W lewo","Bal","Sinistra","Izquierda","Gauche","Left","Left",
"STR_DIK_5","5","5","5","5","5","5","5","5","5","5","5","5",
"STR_MISSION_FAILED","Mission failed","Mission failed","Mise nebyla úspěšná","Mission gescheitert","Задание провалено","Misja nie powiodła się","Elbuktad a küldetést.","Missione fallita","La misión ha fracasado","Échec de la mission","Mission failed","Mission failed",
"STR_MISSION_INCOMPLETED","Mission incomplete","Mission incomplete","Mise nebyla dokončena","Mission nicht abgeschlossen","Задание не выполнено","Misja nieukończona","Befejezetlen küldetés","Missione non finita","Misión incompleta","Mission incomplète","Mission incomplete","Mission incomplete",
"STR_DIK_6","6","6","6","6","6","6","6","6","6","6","6","6",
"STR_DIK_7","7","7","7","7","7","7","7","7","7","7","7","7",
"STR_MISSION_COMPLETED","Done","Done","Hotovo","Erledigt","Готово","Wykonana","Kész","Completata","Completada","Effectué","Done","Done",
"STR_ITEMS_B95_DESC","Double barrelled hunting rifle chambered for 7.62x51mm. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.","Double barrelled hunting rifle chambered for 7.62x51mm. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.","Double barrelled hunting rifle chambered for 7.62x51mm. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.","Double barrelled hunting rifle chambered for 7.62x51mm. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.","Двуствольное охотничье ружье под патрон 7.62x51 мм с одним курком. Оснащено системой одиночного замка, после каждого выстрела боек нужно взводить заново. Запирание стволов в колодке осуществляется нижней широкой задвижкой. Стволы свободно вывешены, ударно-спусковой механизм размещен в ложе.","Double barrelled hunting rifle chambered for 7.62x51mm. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.","Double barrelled hunting rifle chambered for 7.62x51mm. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.","Double barrelled hunting rifle chambered for 7.62x51mm. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.","Double barrelled hunting rifle chambered for 7.62x51mm. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.","Double barrelled hunting rifle chambered for 7.62x51mm. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.","Double barrelled hunting rifle chambered for 7.62x51mm. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.","Double barrelled hunting rifle chambered for 7.62x51mm. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.",
"STR_MSG_WAIT_CONNECTING","Connecting … wait for host.","Connecting … wait for host.","Připojování… vyčkejte na hostitele.","Verbinde ... warte auf Host.","Идет соединение... ожидаю ответ от сервера.","Łączenie... oczekiwanie na hosta.","Csatlakozás… várakozás a szerverre.","Connessione in corso... in attesa di un host.","Conectando... espera al anfitrión.","Connexion... attente de l'hôte.","Connecting … wait for host.","Connecting … wait for host.",
"STR_DIK_8","8","8","8","8","8","8","8","8","8","8","8","8",
"STR_DIK_9","9","9","9","9","9","9","9","9","9","9","9","9",
"STR_ITEMS_B95","Blaze 95 Double Rifle","Blaze 95 Double Rifle","Blaze 95 Double Rifle","Blaze 95 Double Rifle","Blaze 95","Blaze 95 Double Rifle","Blaze 95 Double Rifle","Blaze 95 Double Rifle","Blaze 95 Double Rifle","Blaze 95 Double Rifle","Blaze 95 Double Rifle","Blaze 95 Double Rifle",
"STR_DIK_A","A","A","A","A","A","A","A","A","A","Q","A","A",
"STR_DIK_ABNT_C1","ABNT_C1","ABNT_C1","ABNT_C1","ABNT_C1","ABNT_C1","ABNT_C1","ABNT_C1","ABNT_C1","ABNT_C1","ABNT_C1","ABNT_C1","ABNT_C1",
"STR_DIK_ABNT_C2","ABNT_C2","ABNT_C2","ABNT_C2","ABNT_C2","ABNT_C2","ABNT_C2","ABNT_C2","ABNT_C2","ABNT_C2","ABNT_C2","ABNT_C2","ABNT_C2",
"STR_DIK_ADD","+ [NUM]","+ [NUM]","+ [NUM]","+ [NUM]","+ [NUM]","+ [NUM]","+ [NUM]","+ [Tn]","+ [NUM]","+ [NUM]","+ [テンキー]","+ [NUM]",
"STR_DIK_APOSTROPHE","'","'","'","'","'","'","'","'","'","'","'","'",
"STR_DIK_APPS","App Menu","App Menu","Nabídka aplikací","Anwendungsmenü","App Menu","Zastosuj Menu","Alkalmazások menü","Menu applicaz.","Menú Apl.","Menu app.","App Menu","App Menu",
"STR_SENSORACTIV_JULIET","Radio Juliet","Radio Juliet","Radio Juliet","Funk: Juliet","Радио Джульет","Radio Juliet","Rádió Juliet","Radio Juliet","Radio Juliet","Radio Juliett","Radio Juliet","Radio Juliet",
"STR_MISSION_KILLED","You are dead.","You are dead.","Byl jsi zabit.","Sie sind tot.","Вы погибли.","Nie żyjesz.","Meghaltál.","Sei morto.","Estás muerto.","Vous êtes mort.","失敗しました。","You are dead.",
"STR_MAGAZINE","Magazine","Magazine","Zásobník","Magazin","Магазин","Magazynek","Tár","Caricatore","Cargador","Chargeur","Magazine","Magazine",
"STR_SENSORACTIV_HOTEL","Radio Hotel","Radio Hotel","Radio Hotel","Funk: Hotel","Радио Хоутел","Radio Hotel","Rádió Hotel","Radio Hotel","Radio Hotel","Radio Hotel","Radio Hotel","Radio Hotel",
"STR_SENSORACTIV_INDIA","Radio India","Radio India","Radio Indie","Funk: India","Радио Индия","Radio India","Rádió India","Radio India","Radio India","Radio India","Radio India","Radio India",
"STR_DIK_AT","'n'","'n'","&","&","&","&","&","/","&","&","'n'","'n'",
"STR_MSG_ONE_SIDE","Cooperative mode is not supported!","Cooperative mode is not supported!","Kooperativní mód není podporován!","Koop-Modus wird nicht unterstützt!","Режим игры с союзниками не поддерживается!","Tryb współpracy nie jest obsługiwany!","A kooperatív mód nem elérhető!","Modalità cooperativa non supportata!","¡No se acepta el modo colaboración!","Pas de prise en charge du mode coopératif !","Cooperative mode is not supported!","Cooperative mode is not supported!",
"STR_SENSORACTIV_FOXTROT","Radio Foxtrot","Radio Foxtrot","Radio Foxtrot","Funk: Foxtrot","Радио Фокстрот","Radio Foxtrot","Rádió Foxtrot","Radio Foxtrot","Radio Foxtrot","Radio Foxtrot","Radio Foxtrot","Radio Foxtrot",
"STR_SENSORACTIV_GOLF","Radio Golf","Radio Golf","Radio Golf","Funk: Golf","Радио Гольф","Radio Golf","Rádió Golf","Radio Golf","Radio Golf","Radio Golf","Radio Golf","Radio Golf",
"STR_MPSETUP_GRP_DESC","Group %s %s:","Group %s %s:","Skupina %s %s:","Gruppe %s %s:","Группа %s %s:","Grupa %s %s:","Szakasz %s %s:","Gruppo %s %s:","Grupos %s %s:","Groupement %s %s :","Group %s %s:","Group %s %s:",
"STR_MSG_NO_PLAYERS","Two players are expected!","Two players are expected!","Očekávám dva hráče!","Zwei Spieler erforderlich!","Ожидаются еще два игрока!","Spodziewani są dwaj gracze!","Két játékosra van szükség!","Sono necessari due giocatori!","¡Debe haber dos jugadores!","Deux joueurs sont attendus !","Two players are expected!","Two players are expected!",
"STR_SENSORACTIV_DELTA","Radio Delta","Radio Delta","Radio Delta","Funk: Delta","Радио Дельта","Radio Delta","Rádió Delta","Radio Delta","Radio Delta","Radio Delta","Radio Delta","Radio Delta",
"STR_SENSORACTIV_ECHO","Radio Echo","Radio Echo","Radio Echo","Funk: Echo","Радио Эхо","Radio Echo","Rádió Echo","Radio Echo","Radio Echo","Radio Echo","Radio Echo","Radio Echo",
"STR_SENSORACTIV_NONE","None","None","Žádný","Keine","Нет","Brak","Üres","Nessuno","Ninguna","Néant","なし","None",
"STR_DIK_AX","Ax","Ax","Ax","Ax","Ax","Ax","Ax","Asse","Ax","Ax","Ax","Ax",
"STR_DIK_B","B","B","B","B","B","B","B","B","B","B","B","B",
"STR_SENSORACTIV_BRAVO","Radio Bravo","Radio Bravo","Radio Beta","Funk: Bravo","Радио Браво","Radio Bravo","Rádió Bravo","Radio Bravo","Radio Bravo","Radio Bravo","Radio Bravo","Radio Bravo",
"STR_SENSORACTIV_CHARLIE","Radio Charlie","Radio Charlie","Radio Charlie","Funk: Charlie","Радио Чарли","Radio Charlie","Rádió Charlie","Radio Charlie","Radio Charlie","Radio Charlie","Radio Charlie","Radio Charlie",
"STR_MSG_NETWORK_FAIL","Network services not found!","Network services not found!","Problémy s připojením sítě!","Netzwerkdienste nicht gefunden!","Сеть не найдена!","Nie znaleziono usługi sieciowej!","A hálózati szolgáltatás nem elérhető!","Servizi di rete non trovati!","¡Servicios de red no encontrados!","Services réseau introuvables !","Network services not found!","Network services not found!",
"STR_MSG_NO_VEH_SELECT","Vehicle must be selected!","Vehicle must be selected!","Zvol vozidlo!","Es muss ein Fahrzeug ausgewählt werden!","Следует выбрать машину!","Musisz wybrać pojazd!","Ki kell választanod egy járművet!","Devi selezionare un veicolo!","¡Hay que seleccionar el vehículo!","Pas de véhicule sélectionné !","Vehicle must be selected!","Vehicle must be selected!",
"STR_SENSORACTIV_ANYBODY","Anybody","Anybody","Kdokoli","Jeder","Кто угодно","Ktokolwiek","Bárki","Chiunque","Cualquiera","N'importe qui","Anybody","Anybody",
"STR_MSG_VEH_NAME","Invalid variable name!","Invalid variable name!","Špatný název proměnné!","Ungültiger Variablenname!","Неверное имя переменной!","Niepoprawna nazwa zmiennej!","Érvénytelen változónév!","Nome variabile non valido!","¡Nombre de variable no válido!","Nom de variable incorrect !","Invalid variable name!","Invalid variable name!",
"STR_SENSORACTIV_ALPHA","Radio Alpha","Radio Alpha","Radio Alfa","Funk: Alpha","Радио Альфа","Radio Alfa","Rádió Alpha","Radio Alpha","Radio Alpha","Radio Alpha","Radio Alpha","Radio Alpha",
"STR_MSG_VEH_TEXT_USED","Variable name used!","Variable name used!","Název proměnné již byl použit!","Der Variablenname wird bereits verwendet!","Это имя для переменной уже используется!","Zmienna o takiej nazwie już istnieje!","Használatban lévő változónév!","Nome variabile già in uso!","¡Nombre de variable utilizado!","Nom de variable déjà employé !","Variable name used!","Variable name used!",
"STR_MSG_NO_PLAYER","No player was selected!","No player was selected!","Vyber hráče!","Kein Spieler ausgewählt!","Игрок не выбран!","Nie wybrano żadnego gracza!","Egy játékos sincs kiválasztva!","Nessun giocatore selezionato!","¡Ningún jugador seleccionado!","Aucun joueur sélectionné !","No player was selected!","No player was selected!",
"STR_DIK_BACK","Backspace","Backspace","Backspace","Backspace","Backspace","Backspace","Backspace","Indietro","Borrar","Retour arr.","Backspace","Backspace",
"STR_OBJECTIVE_DONE","Objective completed","Objective completed","Cíl splněn","Ziel erfüllt","Цель достигнута","Zadanie wykonane","Feladat teljesítve","Obiettivo completato","Objetivo completado","Objectif accompli","Objective completed","Objective completed",
"STR_OBJECTIVE_UPDATED","Mission plan updated","Mission plan updated","Plán mise upraven","Missionsplan aktualisiert","Задание обновлено","Uaktualniono plan misji","Frissült a küldetés terve","Piano missione aggiornato","Plan de misión actualizado","Plan de mission mis à jour","Mission plan updated","Mission plan updated",
"STR_DISP_CAMPAIGN_REPLAY","Replay","Replay","Znovu","Wiederh.","Повтор","Powtórz","Újrajátszás","Ricom. miss.","Repetir","Rejouer","リプレイ","Replay",
"STR_MSG_SELECT_MISSION","Select campaign, battle or mission!","Select campaign, battle or mission!","Vyber kampaň bitvu nebo misi!","Bitte Kampagne, Schlacht oder Mission auswählen!","Выберите кампанию, битву или задание!","Wybierz kampanię, bitwę lub misję!","Válassz hadjáratot, csatát, vagy küldetést!","Seleziona campagna, battaglia o missione!","¡Selecciona campaña, batalla o misión!","Sélectionner une campagne, bataille ou mission.","Select campaign, battle or mission!","Select campaign, battle or mission!",
"STR_MSG_TEMPL_READONLY","Warning: File is read only!","Warning: File is read only!","Varování: Soubor jen pro čtení!","Warnung: Datei ist schreibgeschützt!","Внимание: файл только для чтения!","Uwaga: Plik jest przeznaczony tylko do odczytu!","Vigyázz! A fájl írásvédett!","Attenzione: file di sola lettura!","Advertencia: archivo solo lectura","Attention : fichier en lecture seule !","Warning: File is read only!","Warning: File is read only!",
"STR_DIK_BACKSLASH","\","\","\","\","\","\","\","Ã¹","§","<","\","\",
"STR_MSG_TEMPL_ACCESSDENIED","Access denied! Read only file?","Access denied! Read only file?","Přístup odepřen! Soubor jen pro čtení?","Zugriff verweigert! Schreibgeschützte Datei?","Доступ запрещен. Хотите открыть файл только для чтения?","Odmowa dostępu! Plik tylko do odczytu?","Hozzáférés megtagadva! Lehet, hogy írásvédett a fájl?","Accesso negato! File di sola lettura?","¡Acceso denegado! ¿Archivo solo lectura?","Accès refusé ! Fichier en lecture seule ?","Access denied! Read only file?","Access denied! Read only file?",
